Model	Treatment	Treatment target	Treatment type	BestResponse	Day_BestResponse	BestAvgResponse	Day_BestAvgResponse	TimeToDouble	Day_Last	ResponseCategory
X-007	BGJ398	FGFR	single	396.5	11	220.5	11	4	11	PD
X-007	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	189.1	14	77.1	11	6.2	14	PD
X-007	BYL719	PIK3CA	single	303.7	11	196.2	11	4	11	PD
X-007	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-12.7	9	8.7	16	28	30	SD-->PD
X-007	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	47.9	20	40.6	13	22.8	30	PD
X-007	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	25	16	26.5	16	36.8	37	SD
X-007	HDM201	MDM2	single	330.8	11	182.8	11	4	11	PD
X-007	figitumumab	IGF1R	single	428.7	10	153.6	10	4.9	10	PD
X-007	HSP990	HSP90	single	-29.9	15	-21.8	15	28.1	29	SD-->PD
X-007	INC280	MET	single	474.6	13	202	13	3	13	PD
X-007	INC280 + trastuzumab	"ERBB2,MET"	combo	176	20	142.4	13	3	30	PD
X-007	LEE011	"CDK4,CDK6,CDK4/6"	single	405.2	11	230.5	11	4	11	PD
X-007	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-1.1	13	32.2	13	13	13	PD
X-007	LJM716	ERBB3	single	727.4	13	284.6	13	3	13	PD
X-007	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	545.6	13	265.5	13	3	13	PD
X-007	LLM871	FGFR2/4	single	458	11	213.3	11	4	11	PD
X-007	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	55.9	27	51.7	13	30	30	PD
X-007	everolimus	MTOR	single	193.1	26	68.1	12	7.4	33	PD
X-007	trastuzumab	ERBB2	single	233.6	20	51.2	13	8.1	31	PD
X-010	BGJ398	FGFR	single	-65.1	60	-5.3	112	138.3	157	SD-->-->PD
X-010	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	49.1	21	18.8	11	38.7	77	PD
X-010	BYL719	PIK3CA	single	98.5	21	12.7	11	21.6	38	PD
X-010	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-10.7	10	-0.1	14	75.1	91	SD-->PD
X-010	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	342.8	21	132.8	14	5.7	21	PD
X-010	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	24	16	29	16	30	30	SD
X-010	HDM201	MDM2	single	105	20	21.5	14	18.5	42	PD
X-010	figitumumab	IGF1R	single	114.9	20	16.3	14	16.2	34	PD
X-010	HSP990	HSP90	single	382.6	14	147.1	14	7	14	PD
X-010	INC280	MET	single	307.9	21	62.1	14	11.5	21	PD
X-010	INC280 + trastuzumab	"ERBB2,MET"	combo	213.7	23	10.9	11	19.7	31	PD
X-010	LEE011	"CDK4,CDK6,CDK4/6"	single	-15.5	88	4.1	14	111	111	SD-->PD
X-010	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-45.9	26	-26.9	66	118	118	SD
X-010	LJM716	ERBB3	single	308.8	21	132.3	14	4.6	21	PD
X-010	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	185.2	26	53.1	14	12.9	48	PD
X-010	LLM871	FGFR2/4	single	-100	30	-50.1	66	144	155	CR-->-->PD
X-010	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	63.8	34	62.1	14	6.6	58	PD
X-010	everolimus	MTOR	single	140	21	33.3	11	16.5	38	PD
X-010	trastuzumab	ERBB2	single	155.2	21	21	11	14.5	46	PD
X-010	untreated	"UNKNOWN,Untreated"	single	244.3	24	19.3	12	16.9	33	PD
X-011	BGJ398	FGFR	single	182.9	20	36.3	13	14.5	24	PD
X-011	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	145.8	21	28.7	12	17.7	60	PD
X-011	BYL719	PIK3CA	single	152	21	40.3	12	11.6	60	PD
X-011	BYL719 + HSP990	"PIK3CA,HSP90"	combo	37.2	20	10.6	15	29.5	69	PD
X-011	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	19	25	7	11	25	25	SD
X-011	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-23	13	-9.9	20	30	30	SD
X-011	HDM201	MDM2	single	116.9	22	40.8	12	18.6	26	PD
X-011	figitumumab	IGF1R	single	133.8	22	19.3	12	18.7	26	PD
X-011	HSP990	HSP90	single	369.4	20	86.1	13	8.3	24	PD
X-011	INC280	MET	single	114.7	20	34.2	13	18.7	30	PD
X-011	INC280 + trastuzumab	"ERBB2,MET"	combo	38.8	20	34.5	13	28.7	30	PD
X-011	LEE011	"CDK4,CDK6,CDK4/6"	single	79.4	20	24.8	13	21.5	24	PD
X-011	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	122.7	23	33.9	13	17.9	42	PD
X-011	LJM716	ERBB3	single	155.8	20	36.7	13	15.8	30	PD
X-011	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	150.7	23	28.8	13	15.6	30	PD
X-011	LLM871	FGFR2/4	single	400.4	20	101.3	13	6.6	24	PD
X-011	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	78.8	34	14.2	13	27.9	68	PD
X-011	everolimus	MTOR	single	63	25	20.3	11	29	29	PD
X-011	trastuzumab	ERBB2	single	395.1	20	85.2	13	7.5	24	PD
X-015	BGJ398	FGFR	single	290.3	21	31.4	11	11.1	48	PD
X-015	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	110.2	21	11.9	11	15.9	52	PD
X-015	BYL719	PIK3CA	single	16.3	12	7.4	12	44.3	67	SD-->PD
X-015	BYL719 + HSP990	"PIK3CA,HSP90"	combo	72.1	25	31.5	14	26.4	61	PD
X-015	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-100	136	-50.8	136	136	136	CR
X-015	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	74	21	11	14	24.2	41	PD
X-015	HDM201	MDM2	single	250.9	12	121.6	12	5.5	12	PD
X-015	figitumumab	IGF1R	single	-22.6	12	-22.7	12	38.4	75	SD-->PD
X-015	HSP990	HSP90	single	124.9	20	39.1	14	18.2	63	PD
X-015	INC280	MET	single	317.4	23	97.8	11	6.1	31	PD
X-015	INC280 + trastuzumab	"ERBB2,MET"	combo	388.8	23	71.8	11	8.9	31	PD
X-015	LEE011	"CDK4,CDK6,CDK4/6"	single	101.5	20	39.7	14	19.7	63	PD
X-015	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	13.7	16	24.2	16	30	30	SD-->PD
X-015	LJM716	ERBB3	single	217.2	23	34.3	14	15.9	27	PD
X-015	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	108.9	23	2	11	17.5	27	PD
X-015	LLM871	FGFR2/4	single	155	20	50.8	14	11.6	42	PD
X-015	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-82.7	30	-55.6	37	90.9	105	PR-->PD
X-015	everolimus	MTOR	single	114.4	21	28.1	11	18.4	52	PD
X-015	trastuzumab	ERBB2	single	83.6	20	9.5	14	21.3	94	PD
X-015	untreated	"UNKNOWN,Untreated"	single	148	24	24.4	12	20.4	71	PD
X-017	BGJ398	FGFR	single	-79.5	135	-22.2	177	177	177	PR-->PD
X-017	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	75.6	20	15.3	12	36.7	111	PD
X-017	BYL719	PIK3CA	single	5.7	16	2.3	12	83.6	125	SD-->PD
X-017	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-21.6	9	-12.3	16	47.2	97	SD-->PD
X-017	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-29.3	16	-5.4	20	78.1	87	SD-->PD
X-017	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	3.3	10	6.4	18	60.6	102	SD-->PD
X-017	HDM201	MDM2	single	40.7	74	27.3	14	85.2	105	PD
X-017	figitumumab	IGF1R	single	58.6	26	36.8	14	34.9	119	PD
X-017	HSP990	HSP90	single	409.1	20	163	14	5.2	34	PD
X-017	INC280	MET	single	50.7	21	8.1	14	34.4	75	PD
X-017	INC280 + trastuzumab	"ERBB2,MET"	combo	110.9	21	74.8	14	10.8	32	PD
X-017	LEE011	"CDK4,CDK6,CDK4/6"	single	51.6	31	17.1	14	43.3	105	PD
X-017	LJM716	ERBB3	single	146.7	36	104.2	14	7.1	42	PD
X-017	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	57.8	20	38.7	13	22.9	27	PD
X-017	LLM871	FGFR2/4	single	-78.5	196	15.8	15	196	196	SD-->PD
X-017	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	5.7	21	16.3	21	38.3	61	SD-->PD
X-017	everolimus	MTOR	single	8.5	12	9.5	12	48.3	141	SD-->PD
X-017	trastuzumab	ERBB2	single	354.9	20	110.8	14	6	20	PD
X-017	untreated	"UNKNOWN,Untreated"	single	25.4	12	12.7	12	90.5	130	SD
X-020	BGJ398	FGFR	single	179.4	21	35.9	12	12.1	33	PD
X-020	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	54.4	25	40.9	12	33.6	64	PD
X-020	BYL719	PIK3CA	single	15	12	16.8	12	43.2	109	SD
X-020	BYL719 + HSP990	"PIK3CA,HSP90"	combo	50.8	26	21.6	11	36.6	63	PD
X-020	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-64.2	39	-43.2	92	99	99	PR-->-->PD
X-020	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-18.6	17	-10.9	28	100.5	105	SD-->-->PD
X-020	HDM201	MDM2	single	99.7	25	15.2	12	20.8	95	PD
X-020	figitumumab	IGF1R	single	218.4	21	38.7	12	11.5	29	PD
X-020	HSP990	HSP90	single	1.3	12	-4.5	12	30.6	60	SD-->PD
X-020	INC280	MET	single	23	17	34.7	17	85.6	86	PD
X-020	INC280 + trastuzumab	"ERBB2,MET"	combo	124.7	22	26.9	11	19.8	49	PD
X-020	LEE011	"CDK4,CDK6,CDK4/6"	single	75	25	37.4	12	34.3	64	PD
X-020	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-33.6	32	-14.7	63	80	80	SD-->-->PD
X-020	LJM716	ERBB3	single	54	24	46	14	37.7	55	PD
X-020	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	15.1	9	14.9	14	14	14	SD
X-020	LLM871	FGFR2/4	single	136.8	25	30.1	12	18.4	44	PD
X-020	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-63.6	155	1.4	155	155	155	SD
X-020	everolimus	MTOR	single	141.9	21	46.4	12	14.4	44	PD
X-020	trastuzumab	ERBB2	single	16.8	21	1.6	12	33.2	55	SD-->PD
X-020	untreated	"UNKNOWN,Untreated"	single	22.1	46	31.1	12	58.3	130	PD
X-023	BYL719	PIK3CA	single	-40.4	24	-8.8	42	49	49	SD
X-023	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-34.6	53	-18.8	88	112.4	115	SD-->-->PD
X-023	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-18.6	7	-1.4	7	7	7	SD
X-023	HSP990	HSP90	single	122.3	21	55.6	14	12.5	64	PD
X-023	LEE011	"CDK4,CDK6,CDK4/6"	single	-20.6	42	18.1	64	91	91	SD-->PD
X-023	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-58.6	9	-32.2	13	30	30	PR
X-023	LJM716	ERBB3	single	38.5	71	35.2	14	15.1	74	PD
X-023	everolimus	MTOR	single	-66.6	21	-41.7	29	91	91	PR-->PD
X-023	untreated	"UNKNOWN,Untreated"	single	39.4	21	17.5	14	23.4	35	PD
X-024	BYL719	PIK3CA	single	4.1	18	15	18	40.2	122	SD-->PD
X-024	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-77.6	41	-45.2	41	41	41	PR
X-024	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	64.9	21	6.6	14	22.4	36	PD
X-024	HSP990	HSP90	single	107.9	21	27	11	19.8	59	PD
X-024	LEE011	"CDK4,CDK6,CDK4/6"	single	92.9	21	13.8	11	23.4	66	PD
X-024	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-28.3	31	-17.1	39	42	42	SD-->PD
X-024	LJM716	ERBB3	single	93.4	24	20	14	15.5	42	PD
X-024	everolimus	MTOR	single	-13.3	27	8.2	27	122	122	SD-->PD
X-024	untreated	"UNKNOWN,Untreated"	single	226.6	20	52.6	13	9.8	31	PD
X-025	BGJ398	FGFR	single	-38.9	49	-18.4	49	111	111	SD
X-025	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-36.3	14	-21.5	20	20	20	SD
X-025	BYL719	PIK3CA	single	2.8	37	0.5	14	195	218	SD-->PD
X-025	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-35.1	19	-5.7	51	139	139	SD-->-->PD
X-025	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	32.6	27	21.4	14	51	51	SD
X-025	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-30.2	27	5.1	51	51	51	SD
X-025	HDM201	MDM2	single	0.3	37	7.7	14	37	37	SD-->PD
X-025	figitumumab	IGF1R	single	26.9	14	14.3	14	39.1	58	SD-->PD
X-025	HSP990	HSP90	single	81.6	33	36.5	14	34.4	41	PD
X-025	INC280	MET	single	61.4	30	32.3	14	34.9	51	PD
X-025	INC280 + trastuzumab	"ERBB2,MET"	combo	13.9	9	11.6	14	64.8	84	SD-->PD
X-025	LEE011	"CDK4,CDK6,CDK4/6"	single	0	16	-2	12	156.7	183	SD-->PD
X-025	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-18	21	-1.8	36	36	36	SD
X-025	LJM716	ERBB3	single	-9.6	9	-13.3	14	53.7	105	SD-->PD
X-025	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	-27	9	-9.1	14	45.6	51	SD-->PD
X-025	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-38.9	27	-25.3	30	127.3	139	SD-->PD
X-025	everolimus	MTOR	single	6	12	12.6	12	119.5	125	SD-->PD
X-025	trastuzumab	ERBB2	single	92.3	20	40.7	12	21.3	80	PD
X-025	untreated	"UNKNOWN,Untreated"	single	46.1	25	19	18	25	165	PD
X-027	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	205.8	20	41.6	13	11.8	27	PD
X-027	BYL719	PIK3CA	single	-78.2	145	-56.3	153	153	153	PR
X-027	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-64.6	20	-36.2	27	27	27	PR
X-027	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-27.2	10	-4.6	17	35	35	SD-->PD
X-027	HDM201	MDM2	single	13.3	28	17.4	14	28	28	SD
X-027	figitumumab	IGF1R	single	14.6	28	31.3	28	28	28	PD
X-027	LEE011	"CDK4,CDK6,CDK4/6"	single	-25.7	28	-5.2	28	28	28	SD
X-027	LJM716	ERBB3	single	-55.4	29	-25.6	50	50	50	PR
X-027	LLM871	FGFR2/4	single	307.3	21	54.5	14	12.9	24	PD
X-027	trastuzumab	ERBB2	single	-100	77	-83	309	309	309	CR
X-028	BGJ398	FGFR	single	119.2	17	75.7	13	10.6	17	PD
X-028	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	10.8	20	1.6	13	34	34	SD-->PD
X-028	BYL719	PIK3CA	single	67.4	29	32.1	11	34.3	84	PD
X-028	BYL719 + HSP990	"PIK3CA,HSP90"	combo	260.8	20	64.5	15	9	34	PD
X-028	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	19.5	22	-5.8	13	35.1	37	SD-->PD
X-028	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	2.1	9	2.6	14	46.4	69	SD-->PD
X-028	HDM201	MDM2	single	71.3	20	-0.2	13	28.5	31	PD
X-028	figitumumab	IGF1R	single	151.4	22	45.5	15	18.5	33	PD
X-028	HSP990	HSP90	single	-18.1	10	-9.6	13	13	13	SD
X-028	INC280	MET	single	226.9	22	54.6	14	12.1	28	PD
X-028	INC280 + trastuzumab	"ERBB2,MET"	combo	160.6	30	54.9	14	12.2	30	PD
X-028	LEE011	"CDK4,CDK6,CDK4/6"	single	82.4	27	19.4	13	29.1	31	PD
X-028	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	74.4	17	31.5	13	17	17	PD
X-028	LJM716	ERBB3	single	146.1	22	60.6	13	18.4	29	PD
X-028	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	-24.9	54	-19.6	13	54	54	SD
X-028	LLM871	FGFR2/4	single	95.3	20	23	13	15.8	34	PD
X-028	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	110.6	20	50.1	14	18	30	PD
X-028	everolimus	MTOR	single	2.6	15	0.1	12	33	33	SD-->PD
X-028	trastuzumab	ERBB2	single	75.1	24	14	13	28.7	31	PD
X-029	BGJ398	FGFR	single	364	11	131.5	11	7	11	PD
X-029	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	266.3	18	57.5	11	8.9	18	PD
X-029	BYL719	PIK3CA	single	130	21	19	11	16.5	29	PD
X-029	BYL719 + HSP990	"PIK3CA,HSP90"	combo	126.2	12	58	12	10.1	12	PD
X-029	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	291.2	15	160.5	12	5	15	PD
X-029	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	204	12	81.2	12	8.4	12	PD
X-029	HDM201	MDM2	single	297.9	18	48.5	11	11.2	18	PD
X-029	figitumumab	IGF1R	single	351.6	11	144.2	11	5	11	PD
X-029	HSP990	HSP90	single	114.4	9	50.6	9	7.8	9	PD
X-029	INC280	MET	single	307.4	12	137.7	12	5.8	12	PD
X-029	INC280 + trastuzumab	"ERBB2,MET"	combo	312.1	12	168.3	12	5	12	PD
X-029	LEE011	"CDK4,CDK6,CDK4/6"	single	121	20	52.6	13	18.1	24	PD
X-029	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	302.5	22	51.2	12	12.4	33	PD
X-029	LLM871	FGFR2/4	single	347.7	12	186.5	12	5	12	PD
X-029	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-6.1	15	-6.5	12	33	33	SD-->PD
X-029	everolimus	MTOR	single	167.1	18	34.3	11	14.5	18	PD
X-029	trastuzumab	ERBB2	single	234.8	20	110.7	13	3.6	24	PD
X-031	BGJ398	FGFR	single	265.3	21	49.9	12	11.2	33	PD
X-031	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	8.6	16	4.4	12	71.3	95	SD-->PD
X-031	BYL719	PIK3CA	single	-20.4	16	-10.8	16	52.6	77	SD-->PD
X-031	BYL719 + HSP990	"PIK3CA,HSP90"	combo	178.6	22	37.8	13	13.8	41	PD
X-031	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-8.3	55	5.9	14	63	63	SD
X-031	HDM201	MDM2	single	97.2	25	15.7	12	20.8	64	PD
X-031	figitumumab	IGF1R	single	464.5	23	60	11	9.2	23	PD
X-031	HSP990	HSP90	single	184.4	23	27.5	11	13.6	39	PD
X-031	INC280	MET	single	68.4	27	10.2	13	38.1	62	PD
X-031	INC280 + trastuzumab	"ERBB2,MET"	combo	266.8	14	109.7	14	6.4	14	PD
X-031	LEE011	"CDK4,CDK6,CDK4/6"	single	31.3	21	17.3	12	43.3	95	SD-->PD
X-031	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	143.7	23	35.8	13	12.9	42	PD
X-031	LJM716	ERBB3	single	-15	26	22.5	26	8.5	34	SD
X-031	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	194.3	23	55	13	11.3	23	PD
X-031	LLM871	FGFR2/4	single	137.7	23	35.1	11	14	39	PD
X-031	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	83.7	22	15.5	13	26.7	68	PD
X-031	everolimus	MTOR	single	24.3	9	18.7	13	47.6	93	SD
X-031	trastuzumab	ERBB2	single	98.9	23	12.1	11	23.1	44	PD
X-031	untreated	"UNKNOWN,Untreated"	single	-1	12	-0.5	12	69.3	130	SD-->PD
X-034	BGJ398	FGFR	single	42.2	21	24.8	11	32	32	PD
X-034	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	12.6	12	5.3	12	48	90	SD-->PD
X-034	BYL719	PIK3CA	single	-4.6	32	2.2	21	32	32	SD
X-034	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-31.1	37	-15.3	37	37	37	SD
X-034	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	20.2	31	15.9	14	24.8	35	SD-->PD
X-034	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	56.3	31	45.4	17	24.4	35	PD
X-034	HDM201	MDM2	single	60.7	25	16.1	11	32	32	PD
X-034	figitumumab	IGF1R	single	15.9	14	7.4	11	32	32	SD-->PD
X-034	HSP990	HSP90	single	22.4	12	7.2	12	53.8	91	SD-->PD
X-034	INC280	MET	single	73.9	21	21	14	25.7	29	PD
X-034	INC280 + trastuzumab	"ERBB2,MET"	combo	13.7	22	14.1	14	35	35	SD-->PD
X-034	LEE011	"CDK4,CDK6,CDK4/6"	single	3	11	-0.9	11	32	32	SD-->PD
X-034	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-39.4	24	-12.9	34	34	34	SD
X-034	LJM716	ERBB3	single	62.8	21	15.4	14	24.7	29	PD
X-034	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	81.3	31	23.4	14	21.9	35	PD
X-034	LLM871	FGFR2/4	single	104	25	-2.2	11	19.8	32	PD
X-034	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	27.6	19	20	11	35.6	37	SD
X-034	everolimus	MTOR	single	-15	28	4.9	32	266	266	SD-->-->PD
X-034	trastuzumab	ERBB2	single	116.3	21	10	11	19.2	32	PD
X-035	BGJ398	FGFR	single	303.1	20	53.3	13	11.2	31	PD
